Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
5,1,0.7812794612794612,0.006447867613129233,1.6248424053192139,0.05320226759830255,0.035286998748779295,0.0018403909171290696,0.6,{'max_features': 0.6},0.7790123456790123,0.7856341189674523,0.7903479236812571,0.7712682379349046,0.7801346801346801
7,2,0.7810325476992144,0.004932145981404179,2.5650322437286377,0.3104768395088971,0.04863715171813965,0.012836250573475169,0.8,{'max_features': 0.8},0.7768799102132435,0.7804713804713804,0.7874298540965208,0.774635241301908,0.785746352413019
6,3,0.7808978675645342,0.005973265998284925,2.0026051998138428,0.042127910864521875,0.038838863372802734,0.002244264993421329,0.7,{'max_features': 0.7},0.7849607182940517,0.7782267115600449,0.7877665544332211,0.7707070707070707,0.7828282828282829
4,4,0.7807856341189675,0.005276834210519442,1.2164333820343018,0.035750803560264235,0.03170299530029297,0.0004534387175061233,0.5,{'max_features': 0.5},0.7838383838383839,0.7856341189674523,0.7856341189674523,0.7735129068462402,0.7753086419753087
9,5,0.7800897867564535,0.0033009609822946535,2.932452344894409,0.110530130315034,0.04924640655517578,0.01138663659360986,0.9,{'max_features': 0.9},0.7795735129068463,0.7817059483726151,0.7838383838383839,0.774074074074074,0.7812570145903479
8,6,0.779618406285073,0.0030683893301381403,3.003783082962036,0.22290854594062762,0.07862849235534668,0.019140988919745774,0.85,{'max_features': 0.85},0.7787878787878788,0.7787878787878788,0.7856341189674523,0.7775533108866443,0.7773288439955106
11,7,0.7790796857463526,0.0033794010435089232,3.1285725593566895,0.12229353873832798,0.04502716064453125,0.002664005367154131,0.95,{'max_features': 0.95},0.7780022446689113,0.775645342312009,0.7849607182940517,0.7763187429854097,0.7804713804713804
10,8,0.7775308641975308,0.0036742700111112225,2.9569408893585205,0.1894940556496096,0.0469871997833252,0.010430477157205069,0.92,{'max_features': 0.92},0.7768799102132435,0.7763187429854097,0.7817059483726151,0.7716049382716049,0.7811447811447811
12,9,0.777351290684624,0.00472309490166796,3.3741940021514893,0.11309581168543273,0.05582070350646973,0.012645687155188044,1.0,{'max_features': 1.0},0.7795735129068463,0.775645342312009,0.783726150392817,0.7694725028058361,0.7783389450056116
3,10,0.7750617283950617,0.0037428802419025298,0.9696204185485839,0.028287506437894513,0.029234600067138673,0.0002712211192805205,0.4,{'max_features': 0.4},0.7703703703703704,0.7802469135802469,0.7785634118967453,0.7737373737373737,0.7723905723905724
2,11,0.7668462401795735,0.006522144227303987,0.686875295639038,0.025731193011026103,0.026885032653808594,0.0008541604125987812,0.3,{'max_features': 0.3},0.7767676767676768,0.7572390572390573,0.7691358024691358,0.7681257014590348,0.762962962962963
1,12,0.7411223344556678,0.01230840204289525,0.43953795433044435,0.02067336519098694,0.02189669609069824,0.0005225609575411114,0.2,{'max_features': 0.2},0.754769921436588,0.7191919191919192,0.7450056116722783,0.7375982042648709,0.7490460157126824
0,13,0.6755555555555556,0.010903962990932782,0.1993537425994873,0.018954247275754964,0.015659475326538087,0.0007314177891146761,0.1,{'max_features': 0.1},0.6764309764309764,0.6830527497194164,0.6561167227833895,0.674074074074074,0.6881032547699214
